,tanggal_tweet,pengguna,Tweet,sentimen
12,2022-10-29 10:25:39+00:00,Byu_Gobel,"RT @rrq_guild: MISSION WHITELIST ISYANA?!

Isyanation mana suaranya?!! @isyanasarasvati baru aja release MY MYSTERY NFT Collection guys! Ma…",0
13,2022-10-29 07:35:22+00:00,rrq_guild,"Like &amp; share postingan ini, kasih tau ke Isyanation lainnya 🙌🏻

#PlayWithRRQGuild #GoodGuildWellPaid #RRQGuild… https://t.co/KMW2tXhhnF",0
14,2022-10-29 07:31:40+00:00,rrq_guild,"MISSION WHITELIST ISYANA?!

Isyanation mana suaranya?!! @isyanasarasvati baru aja release MY MYSTERY NFT Collection… https://t.co/C6DZFfar0x",0
15,2022-10-29 06:35:41+00:00,tribunjambiku,"Ari Lasso Ungkap Fakta Isyana Sarasvati Adalah Keponakannya: Ponakanku Beneran dari Ibuku
 
https://t.co/CdfYIRcuQF… https://t.co/PGxwoe44H7",0
16,2022-10-29 06:35:29+00:00,northerrnnlight,Hahhaahaha ya Allah puji Tuhan gk jadi beli.. @isyanasarasvati i lov u tp kali ini ga dulu 🥲🥲 https://t.co/M8WNRrZRBK,0
17,2022-10-29 03:41:50+00:00,dms_ambon,"#NowPlaying Tetap Dalam Jiwa - @isyanasarasvati @SonyMusicID 
#Indonesiaku @dms_ambon",0
18,2022-10-28 15:13:31+00:00,piyetokiiikii,@chaind27 @isyanasarasvati Lah ada padahal,0
19,2022-10-28 15:00:46+00:00,adhityafariz,@chaind27 @isyanasarasvati tadi ada awal-awal,0
20,2022-10-28 13:35:43+00:00,adriansah_alief,@isyanasarasvati cantik banget pas duet sama Ari Lasso,0
21,2022-10-28 11:44:50+00:00,hunkynasty,2015-2016 nyanyiin ini sampai diomelin tapi gapapa i still love u kak @isyanasarasvati 😉🫰 https://t.co/9VVr0wG74P,1
22,2022-10-28 10:18:52+00:00,ogitut00h,@TonightShow_NET @joylandfest @isyanasarasvati Amat sangat ingin pantengin mba Isyan goyang heboh secara langsung k… https://t.co/KljaTiBxlf,0
23,2022-10-28 09:11:55+00:00,zahravio_,Lagunya @isyanasarasvati untuk hati yang terluka ini enak banget ya.,0
24,2022-10-28 07:01:50+00:00,102fmvoksradio,#NP: @isyanasarasvati &amp; @gamaliel - Ada Apa Dengan cinta l @TataleAlf - Sekarang Waktunya #VoksIndohits,0
25,2022-10-27 22:12:31+00:00,ikbarel,@isyanasarasvati Kali aja ini mah. Vibesnya Isyana pas juga. Vocalnya juga kayanya bisa banget.,0
26,2022-10-27 22:10:52+00:00,ikbarel,Tot Musica nya Ado kalo dinyanyiin @isyanasarasvati sepertinya menarik. https://t.co/IVSEdFRyzb,0
27,2022-10-27 12:41:41+00:00,febrian_DP,@TonightShow_NET @joylandfest Pengen banget nonton live perform nya The Adams karena ngefans mereka sejak nonton Ja… https://t.co/pi5PCA0VbG,1
28,2022-10-27 11:07:30+00:00,trstywt,"@TonightShow_NET @joylandfest @JP_5ecretNumber @yurayunita @isyanasarasvati 
BINTANG YANG KEREN GA ADA TANDING",0
29,2022-10-27 04:07:51+00:00,dwikardana,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
30,2022-10-27 02:08:54+00:00,ONEBULLNODE,"@RioIndiratama @isyanasarasvati @idnft_ Jadi dilema, belanja apa hold 😂😂😂",0
31,2022-10-27 02:05:14+00:00,ONEBULLNODE,@RioIndiratama @isyanasarasvati @idnft_ 🐄moooooo moooo 🎵🎶 nyanyian memanggil BULL market 😂,0
32,2022-10-27 02:04:07+00:00,RioIndiratama,@ONEBULLNODE @isyanasarasvati @idnft_ Tunjukkan talenta om Bull di event Karaoke night atau game night juga 🤭🙌,-1
33,2022-10-27 02:00:42+00:00,ONEBULLNODE,"@RioIndiratama @isyanasarasvati @idnft_ Bisanya cuma retweet 😂, gak bisa bikin sticker ato meme 🥲",0
34,2022-10-27 01:59:31+00:00,RioIndiratama,@ONEBULLNODE @isyanasarasvati @idnft_ yuk ikutin salah-satu eventnya om Bull 😄,0
35,2022-10-27 01:56:59+00:00,Theoverstun,"[271016] @TheOvertunes - Instagram post

Urang bandung sadayana hatur nuhun atosan ngaramekeun M&amp;G #Y2koustic bersa… https://t.co/GW4z3v4Fn4",0
36,2022-10-27 01:40:03+00:00,ONEBULLNODE,Menanti WL lah… 😁💙 @isyanasarasvati @idnft_ https://t.co/gkp2w53WUw https://t.co/d9k1yPcXON,0
37,2022-10-27 01:04:46+00:00,anaisbenana,mmf tp kami sekelas ngakak bgt pas bagian ini 😭 dan ak tiba2 bayangin kak @isyanasarasvati dgn kebelibetannya ketik… https://t.co/Ufy4V8lJQW,0
38,2022-10-27 00:30:37+00:00,dms_ambon,#ReqPlaying Terpesona @isyanasarasvati on #KHB,0
39,2022-10-26 20:08:22+00:00,dailymateradio,"Now playing ""Isyana Sarasvati - Tetap Dalam Jiwa"" on channel NBS Radio. Listen it on Dailymate Radio at… https://t.co/Wpu3FgPCr7",0
40,2022-10-26 15:24:30+00:00,arifinridwan24,Duet sama @isyanasarasvati  sama @raisa6690  kayaknya seru bahas Perspektif mereka tentang musik indonesia pak… https://t.co/po5uwsgE9d,0
41,2022-10-26 13:45:15+00:00,tjandrafm_cjr,"#RELIEF #RequestLaguIndonesiaFavorite
w/@awan_badroe #Memutar

@isyanasarasvati - Tetap Dalam Jiwa @SonyMusicID… https://t.co/m7Wmwr5PW5",0
42,2022-10-26 13:14:03+00:00,devlstr,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
43,2022-10-26 11:05:08+00:00,Basri_bestari,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
44,2022-10-26 10:46:12+00:00,denykurniw27,@isyanasarasvati Keren nftnya 👏  di tunggu nft keren lainnya,0
45,2022-10-26 10:26:29+00:00,raasyd,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
46,2022-10-26 10:15:33+00:00,wow_keren,Vidi Aldiano dan Isyana Sarasvati Alami Kejadian Horor Saat Nginap di Bali #VidiAldiano #IsyanaSarasvati… https://t.co/J6MZPNQ8Ee,0
47,2022-10-26 08:53:30+00:00,CoinHarian,@isyanasarasvati Wow keren bngt ini epic beda dari pda lainnya kak isyana 😍,1
48,2022-10-26 08:53:07+00:00,capkaki_,@neddbula @isyanasarasvati mantep ni ada efek rumah kaca,0
49,2022-10-26 07:30:08+00:00,yosafatss,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
50,2022-10-26 06:55:46+00:00,mohhikhsan_,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
51,2022-10-26 06:55:10+00:00,Bintangg46,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
52,2022-10-26 06:41:50+00:00,JasmyMan,"RT @BybitIndonesia: 🔥 Koleksi NFT spesial dari @hmxnft dan musisi terbaik Indonesia @isyanasarasvati segera hadir di Bybit!

😍 Hanya 0,055…",0
53,2022-10-26 06:39:18+00:00,BybitIndonesia,"🔥 Koleksi NFT spesial dari @hmxnft dan musisi terbaik Indonesia @isyanasarasvati segera hadir di Bybit!

😍 Hanya 0,… https://t.co/1zsqBBdEvu",0
54,2022-10-26 06:38:13+00:00,kwikuw,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
55,2022-10-26 06:33:17+00:00,aidilarynto,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
56,2022-10-26 06:28:11+00:00,redrose_records,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
57,2022-10-26 06:24:55+00:00,auliasalim09,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
58,2022-10-26 06:21:13+00:00,twosetviolin_26,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
59,2022-10-26 06:20:58+00:00,AptosGiga,"@isyanasarasvati sumpah keren bngt kak nftnya, yang pake kacamata kece",0
60,2022-10-26 06:13:39+00:00,nadilaristanto_,"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…",1
61,2022-10-26 06:12:40+00:00,isyanasarasvati,"Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰… https://t.co/pHUjqtKlTg",1
62,2022-10-26 05:32:26+00:00,omponxxx,@isyanasarasvati maen2 sinilah https://t.co/KVO6niDIwL,0
63,2022-10-26 05:21:48+00:00,omponxxx,@Ikmal_s_l @henry_e_s @XionTydza Ngarep dapet WL si @isyanasarasvati akuh om 😁,0
64,2022-10-26 05:20:08+00:00,lailatulllll,@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Ke depak berapa um skrg? Tak ada di rank 10 nama mu,-1
65,2022-10-26 05:13:19+00:00,omponxxx,@lailatulllll @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Nantilah klo event perdukunan udah kelar 😂,0
66,2022-10-26 05:12:37+00:00,lailatulllll,"@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Guriihh um.
Dirimu kapan balik ke DC🧐",0
67,2022-10-26 04:48:07+00:00,lailatulllll,@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Udh um. Dapet juga ga?,0
68,2022-10-26 04:39:34+00:00,omponxxx,@lailatulllll @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Okse udah dijual semuanya om?,0
69,2022-10-26 03:12:03+00:00,LittleCaib,"@xeexoxeeeeeee @isyanasarasvati Iyee.. tadi uda mau kaget, mau selebrasi.. 
Eh tertanyaaaaa 😭😭",0
70,2022-10-26 03:09:14+00:00,xeexoxeeeeeee,@LittleCaib @isyanasarasvati Dupe nya wkwkwk,0
71,2022-10-26 03:05:58+00:00,LittleCaib,"@xeexoxeeeeeee @isyanasarasvati Wooy.. beneran di baca sama isyana!!
 tapi ga Sarasvati 😭
https://t.co/l6QKSf6X5G",0
72,2022-10-26 03:00:07+00:00,DealovaAbimanyu,"RT @DealovaAbimanyu: Ini sumpah keren banget.... 
@daratista_inul @isyanasarasvati @DEADSQUAD_Band 
#Inul #Isyana #DeadSquad #incollaborati…",0
73,2022-10-25 23:19:32+00:00,dianmuthii,@rizkamaliaaaaa @isyanasarasvati Aku mendukung rambutmu kaya mb Isyana,0
74,2022-10-25 16:08:59+00:00,mrizfadillah,@Bybit_NFT @hmxnft @isyanasarasvati Anjing si cilepeung,0
75,2022-10-25 15:37:03+00:00,rianfatur,@milanisem @indosatim3 @isyanasarasvati @BARASUARA @rendypandugo Pembelian Online Bang. Tiketnya elektronik. Kalau… https://t.co/dPDQfxrGp2,0
76,2022-10-25 14:50:30+00:00,prorenata_,"Tuhaaann… maafkan diri ini, yang tak pernah bisa 

pergi nonton live concert. 

Aku tuh mau banget support musisi2… https://t.co/zxWKFU9hag",1
77,2022-10-25 14:16:52+00:00,OscarAndry20,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
78,2022-10-25 13:58:03+00:00,Freakario,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
79,2022-10-25 12:50:36+00:00,omponxxx,@sitompulfahmi @lailatulllll @Bybit_NFT @isyanasarasvati @beans57beans Oh tentu tidak 🤣 holy #1,0
80,2022-10-25 12:43:19+00:00,sitompulfahmi,@omponxxx @lailatulllll @Bybit_NFT @isyanasarasvati @beans57beans Secepat itu kamu melupakan Holy,0
81,2022-10-25 12:42:02+00:00,helmantaofani,"RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…",0
82,2022-10-25 12:18:02+00:00,i_agastifa_94,"RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…",0
83,2022-10-25 11:51:25+00:00,lailatulllll,@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Bisa req lagu um ke @isyanasarasvati,0
84,2022-10-25 11:11:26+00:00,SiskaPuspita__,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
85,2022-10-25 10:24:20+00:00,nftkompas,RT @srikumoro: Tulisan ringan soal NFT di @hariankompas hari ini. Nyinggung soal pameran @nftkompas di @SuperlativeSS dan rencana launching…,0
86,2022-10-25 10:15:59+00:00,kompasmuda,"RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…",0
87,2022-10-25 09:40:20+00:00,nftkompas,"Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws j… https://t.co/naGyx6Vklc",0
88,2022-10-25 09:04:49+00:00,srikumoro,Tulisan ringan soal NFT di @hariankompas hari ini. Nyinggung soal pameran @nftkompas di @SuperlativeSS dan rencana… https://t.co/2s2XJUHB3W,0
89,2022-10-25 08:40:52+00:00,rendypandugo,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
90,2022-10-25 06:48:02+00:00,rianfatur,"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…",0
91,2022-10-25 06:15:49+00:00,selenehestia11,@isyanasarasvati Penyanyi sekaligus pelawak favoritkuu..,0
92,2022-10-25 06:12:24+00:00,KhioneAthena,@isyanasarasvati Pasti seru bgt nih nft isyana.. 😍,0
93,2022-10-25 06:06:15+00:00,helmantaofani,"RT @srikumoro: Monggo dipun waos. 
Cc: @nftkompas @isyanasarasvati
@SuperlativeSS
NFT, Dunia Digital Rasa Analog
https://t.co/ZercC7kAoP…",0
94,2022-10-25 06:01:05+00:00,srikumoro,@priyombodo @nftkompas @isyanasarasvati @SuperlativeSS Suwun lek,0
95,2022-10-25 04:44:12+00:00,priyombodo,@srikumoro @nftkompas @isyanasarasvati @SuperlativeSS Menarik dibaca,0
96,2022-10-25 04:42:07+00:00,zzenbe02,@isyanasarasvati Wow keren kak . Semangat terus berkarya,1
97,2022-10-25 03:53:18+00:00,srikumoro,"Monggo dipun waos. 
Cc: @nftkompas @isyanasarasvati
@SuperlativeSS
NFT, Dunia Digital Rasa Analog… https://t.co/vJjwq1RkSn",0
98,2022-10-25 03:36:44+00:00,HeliosCaerus,@isyanasarasvati Pasti keren &amp; laris nih,0
99,2022-10-25 03:15:00+00:00,indosatim3,"#CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang be… https://t.co/YyfgWD5xeo",0
