;Tweet;sentimen;step01;tokens;final_tokens;step02
14;"MISSION WHITELIST ISYANA?!

Isyanation mana suaranya?!! @isyanasarasvati baru aja release MY MYSTERY NFT Collection… https://t.co/C6DZFfar0x";0;mission whitelist isyana isyanation mana suaranya user baru aja release my mystery nft collection coc6dzffar0x;['mission', 'whitelist', 'isyana', 'isyanation', 'mana', 'suaranya', 'user', 'baru', 'aja', 'release', 'my', 'mystery', 'nft', 'collection', 'coc6dzffar0x'];['mission', 'whitelist', 'isyana', 'isyanation', 'mana', 'suaranya', 'user', 'baru', 'saja', 'release', 'my', 'mystery', 'nft', 'collection', 'coc6dzffar0x'];mission whitelist isyana isyanation mana suaranya user baru saja release my mystery nft collection coc6dzffar0x
15;"Ari Lasso Ungkap Fakta Isyana Sarasvati Adalah Keponakannya: Ponakanku Beneran dari Ibuku
 
https://t.co/CdfYIRcuQF… https://t.co/PGxwoe44H7";0;ari lasso ungkap fakta isyana sarasvati adalah keponakannya ponakanku beneran dari ibuku cocdfyircuqf copgxwoe44h7;['ari', 'lasso', 'ungkap', 'fakta', 'isyana', 'sarasvati', 'adalah', 'keponakannya', 'ponakanku', 'beneran', 'dari', 'ibuku', 'cocdfyircuqf', 'copgxwoe44h7'];['ari', 'lasso', 'ungkap', 'fakta', 'isyana', 'sarasvati', 'adalah', 'keponakannya', 'ponakanku', 'serius', 'dari', 'ibuku', 'cocdfyircuqf', 'copgxwoe44h7'];ari lasso ungkap fakta isyana sarasvati adalah keponakannya ponakanku serius dari ibuku cocdfyircuqf copgxwoe44h7
16;Hahhaahaha ya Allah puji Tuhan gk jadi beli.. @isyanasarasvati i lov u tp kali ini ga dulu 🥲🥲 https://t.co/M8WNRrZRBK;0;hahhaahaha ya allah puji tuhan gk jadi beli user lov tp kali ini ga dulu com8wnrrzrbk;['hahhaahaha', 'ya', 'allah', 'puji', 'tuhan', 'gk', 'jadi', 'beli', 'user', 'lov', 'tp', 'kali', 'ini', 'ga', 'dulu', 'com8wnrrzrbk'];['hahhaahaha', 'iya', 'allah', 'puji', 'tuhan', 'tidak', 'jadi', 'beli', 'user', 'lov', 'tapi', 'kali', 'ini', 'tidak', 'dulu', 'com8wnrrzrbk'];hahhaahaha iya allah puji tuhan tidak jadi beli user lov tapi kali ini tidak dulu com8wnrrzrbk
17;"#NowPlaying Tetap Dalam Jiwa - @isyanasarasvati @SonyMusicID 
#Indonesiaku @dms_ambon";0;hashtag now playing hashtag tetap dalam jiwa user user hashtag indonesiaku hashtag user;['hashtag', 'now', 'playing', 'hashtag', 'tetap', 'dalam', 'jiwa', 'user', 'user', 'hashtag', 'indonesiaku', 'hashtag', 'user'];['hashtag', 'now', 'playing', 'hashtag', 'tetap', 'dalam', 'jiwa', 'user', 'user', 'hashtag', 'indonesiaku', 'hashtag', 'user'];hashtag now playing hashtag tetap dalam jiwa user user hashtag indonesiaku hashtag user
18;@chaind27 @isyanasarasvati Lah ada padahal;0;user user lah ada padahal;['user', 'user', 'lah', 'ada', 'padahal'];['user', 'user', 'lah', 'ada', 'padahal'];user user lah ada padahal
19;@chaind27 @isyanasarasvati tadi ada awal-awal;0;user user tadi ada awal awal;['user', 'user', 'tadi', 'ada', 'awal', 'awal'];['user', 'user', 'tadi', 'ada', 'awal', 'awal'];user user tadi ada awal awal
20;@isyanasarasvati cantik banget pas duet sama Ari Lasso;0;user cantik banget pas duet sama ari lasso;['user', 'cantik', 'banget', 'pas', 'duet', 'sama', 'ari', 'lasso'];['user', 'cantik', 'banget', 'cocok', 'duet', 'sama', 'ari', 'lasso'];user cantik banget cocok duet sama ari lasso
21;2015-2016 nyanyiin ini sampai diomelin tapi gapapa i still love u kak @isyanasarasvati 😉🫰 https://t.co/9VVr0wG74P;1;number number nyanyiin ini sampai diomelin tapi gapapa still love kak user co9vvr0wg74p;['number', 'number', 'nyanyiin', 'ini', 'sampai', 'diomelin', 'tapi', 'gapapa', 'still', 'love', 'kak', 'user', 'co9vvr0wg74p'];['number', 'number', 'nyanyiin', 'ini', 'sampai', 'diomelin', 'tapi', 'baik ', 'still', 'love', 'kak', 'user', 'co9vvr0wg74p'];number number nyanyiin ini sampai diomelin tapi baik  still love kak user co9vvr0wg74p
22;@TonightShow_NET @joylandfest @isyanasarasvati Amat sangat ingin pantengin mba Isyan goyang heboh secara langsung k… https://t.co/KljaTiBxlf;0;user user user amat sangat ingin pantengin mba isyan goyang heboh secara langsung cokljatibxlf;['user', 'user', 'user', 'amat', 'sangat', 'ingin', 'pantengin', 'mba', 'isyan', 'goyang', 'heboh', 'secara', 'langsung', 'cokljatibxlf'];['user', 'user', 'user', 'amat', 'sangat', 'ingin', 'pantengin', 'mbak', 'isyan', 'goyang', 'heboh', 'secara', 'langsung', 'cokljatibxlf'];user user user amat sangat ingin pantengin mbak isyan goyang heboh secara langsung cokljatibxlf
23;Lagunya @isyanasarasvati untuk hati yang terluka ini enak banget ya.;0;lagunya user untuk hati yang terluka ini enak banget ya;['lagunya', 'user', 'untuk', 'hati', 'yang', 'terluka', 'ini', 'enak', 'banget', 'ya'];['lagunya', 'user', 'untuk', 'hati', 'yang', 'terluka', 'ini', 'enak', 'banget', 'iya'];lagunya user untuk hati yang terluka ini enak banget iya
24;"#NP: @isyanasarasvati &amp; @gamaliel - Ada Apa Dengan cinta l @TataleAlf - Sekarang Waktunya #VoksIndohits";0;hashtag np hashtag user user ada apa dengan cinta user sekarang waktunya hashtag voks indohits hashtag;['hashtag', 'np', 'hashtag', 'user', 'user', 'ada', 'apa', 'dengan', 'cinta', 'user', 'sekarang', 'waktunya', 'hashtag', 'voks', 'indohits', 'hashtag'];['hashtag', 'np', 'hashtag', 'user', 'user', 'ada', 'apa', 'dengan', 'cinta', 'user', 'sekarang', 'waktunya', 'hashtag', 'voks', 'indohits', 'hashtag'];hashtag np hashtag user user ada apa dengan cinta user sekarang waktunya hashtag voks indohits hashtag
25;@isyanasarasvati Kali aja ini mah. Vibesnya Isyana pas juga. Vocalnya juga kayanya bisa banget.;0;user kali aja ini mah vibesnya isyana pas juga vocalnya juga kayanya bisa banget;['user', 'kali', 'aja', 'ini', 'mah', 'vibesnya', 'isyana', 'pas', 'juga', 'vocalnya', 'juga', 'kayanya', 'bisa', 'banget'];['user', 'kali', 'saja', 'ini', 'mah', 'vibesnya', 'isyana', 'cocok', 'juga', 'vocalnya', 'juga', 'kayanya', 'bisa', 'banget'];user kali saja ini mah vibesnya isyana cocok juga vocalnya juga kayanya bisa banget
26;Tot Musica nya Ado kalo dinyanyiin @isyanasarasvati sepertinya menarik. https://t.co/IVSEdFRyzb;0;tot musica nya ado kalo dinyanyiin user sepertinya menarik coivsedfryzb;['tot', 'musica', 'nya', 'ado', 'kalo', 'dinyanyiin', 'user', 'sepertinya', 'menarik', 'coivsedfryzb'];['tot', 'musica', 'nya', 'ado', 'kalau', 'dinyanyiin', 'user', 'sepertinya', 'menarik', 'coivsedfryzb'];tot musica nya ado kalau dinyanyiin user sepertinya menarik coivsedfryzb
27;@TonightShow_NET @joylandfest Pengen banget nonton live perform nya The Adams karena ngefans mereka sejak nonton Ja… https://t.co/pi5PCA0VbG;1;user user pengen banget nonton live perform nya the adams karena ngefans mereka sejak nonton ja copi5pca0vbg;['user', 'user', 'pengen', 'banget', 'nonton', 'live', 'perform', 'nya', 'the', 'adams', 'karena', 'ngefans', 'mereka', 'sejak', 'nonton', 'ja', 'copi5pca0vbg'];['user', 'user', 'ingin', 'banget', 'nonton', 'live', 'perform', 'nya', 'the', 'adams', 'karena', 'ngefans', 'mereka', 'sejak', 'nonton', 'ja', 'copi5pca0vbg'];user user ingin banget nonton live perform nya the adams karena ngefans mereka sejak nonton ja copi5pca0vbg
28;"@TonightShow_NET @joylandfest @JP_5ecretNumber @yurayunita @isyanasarasvati 
BINTANG YANG KEREN GA ADA TANDING";0;user user user user user bintang yang keren ga ada tanding;['user', 'user', 'user', 'user', 'user', 'bintang', 'yang', 'keren', 'ga', 'ada', 'tanding'];['user', 'user', 'user', 'user', 'user', 'bintang', 'yang', 'keren', 'tidak', 'ada', 'tanding'];user user user user user bintang yang keren tidak ada tanding
29;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
30;@RioIndiratama @isyanasarasvati @idnft_ Jadi dilema, belanja apa hold 😂😂😂;0;user user user jadi dilema belanja apa hold;['user', 'user', 'user', 'jadi', 'dilema', 'belanja', 'apa', 'hold'];['user', 'user', 'user', 'jadi', 'dilema', 'belanja', 'apa', 'hold'];user user user jadi dilema belanja apa hold
31;@RioIndiratama @isyanasarasvati @idnft_ 🐄moooooo moooo 🎵🎶 nyanyian memanggil BULL market 😂;0;user user user moooooo moooo nyanyian memanggil bull market;['user', 'user', 'user', 'moooooo', 'moooo', 'nyanyian', 'memanggil', 'bull', 'market'];['user', 'user', 'user', 'moooooo', 'moooo', 'nyanyian', 'memanggil', 'bull', 'market'];user user user moooooo moooo nyanyian memanggil bull market
32;@ONEBULLNODE @isyanasarasvati @idnft_ Tunjukkan talenta om Bull di event Karaoke night atau game night juga 🤭🙌;-1;user user user tunjukkan talenta om bull di event karaoke night atau game night juga;['user', 'user', 'user', 'tunjukkan', 'talenta', 'om', 'bull', 'di', 'event', 'karaoke', 'night', 'atau', 'game', 'night', 'juga'];['user', 'user', 'user', 'tunjukkan', 'talenta', 'om', 'bull', 'di', 'event', 'karaoke', 'night', 'atau', 'game', 'night', 'juga'];user user user tunjukkan talenta om bull di event karaoke night atau game night juga
33;@RioIndiratama @isyanasarasvati @idnft_ Bisanya cuma retweet 😂, gak bisa bikin sticker ato meme 🥲;0;user user user bisanya cuma retweet gak bisa bikin sticker ato meme;['user', 'user', 'user', 'bisanya', 'cuma', 'retweet', 'gak', 'bisa', 'bikin', 'sticker', 'ato', 'meme'];['user', 'user', 'user', 'bisanya', 'cuma', 'retweet', 'tidak', 'bisa', 'membuat', 'sticker', 'ato', 'meme'];user user user bisanya cuma retweet tidak bisa membuat sticker ato meme
34;@ONEBULLNODE @isyanasarasvati @idnft_ yuk ikutin salah-satu eventnya om Bull 😄;0;user user user yuk ikutin salah satu eventnya om bull;['user', 'user', 'user', 'yuk', 'ikutin', 'salah', 'satu', 'eventnya', 'om', 'bull'];['user', 'user', 'user', 'ayo', 'ikutin', 'salah', 'satu', 'eventnya', 'om', 'bull'];user user user ayo ikutin salah satu eventnya om bull
35;"[271016] @TheOvertunes - Instagram post

Urang bandung sadayana hatur nuhun atosan ngaramekeun M&amp;G #Y2koustic bersa… https://t.co/GW4z3v4Fn4";0;number user instagram post urang bandung sadayana hatur nuhun atosan ngaramekeun hashtag 2 koustic hashtag bersa cogw4z3v4fn4;['number', 'user', 'instagram', 'post', 'urang', 'bandung', 'sadayana', 'hatur', 'nuhun', 'atosan', 'ngaramekeun', 'hashtag', '2', 'koustic', 'hashtag', 'bersa', 'cogw4z3v4fn4'];['number', 'user', 'instagram', 'post', 'urang', 'bandung', 'sadayana', 'hatur', 'nuhun', 'atosan', 'ngaramekeun', 'hashtag', '2', 'koustic', 'hashtag', 'bersa', 'cogw4z3v4fn4'];number user instagram post urang bandung sadayana hatur nuhun atosan ngaramekeun hashtag 2 koustic hashtag bersa cogw4z3v4fn4
36;Menanti WL lah… 😁💙 @isyanasarasvati @idnft_ https://t.co/gkp2w53WUw https://t.co/d9k1yPcXON;0;menanti wl lah user user cogkp2w53wuw cod9k1ypcxon;['menanti', 'wl', 'lah', 'user', 'user', 'cogkp2w53wuw', 'cod9k1ypcxon'];['menanti', 'wl', 'lah', 'user', 'user', 'cogkp2w53wuw', 'cod9k1ypcxon'];menanti wl lah user user cogkp2w53wuw cod9k1ypcxon
37;mmf tp kami sekelas ngakak bgt pas bagian ini 😭 dan ak tiba2 bayangin kak @isyanasarasvati dgn kebelibetannya ketik… https://t.co/Ufy4V8lJQW;0;mmf tp kami sekelas ngakak bgt pas bagian ini dan ak tiba2 bayangin kak user dgn kebelibetannya ketik coufy4v8ljqw;['mmf', 'tp', 'kami', 'sekelas', 'ngakak', 'bgt', 'pas', 'bagian', 'ini', 'dan', 'ak', 'tiba2', 'bayangin', 'kak', 'user', 'dgn', 'kebelibetannya', 'ketik', 'coufy4v8ljqw'];['mmf', 'tapi', 'kami', 'sekelas', 'ngakak', 'banget', 'cocok', 'bagian', 'ini', 'dan', 'aku', 'tiba2', 'bayangkan', 'kak', 'user', 'dengan', 'kebelibetannya', 'ketik', 'coufy4v8ljqw'];mmf tapi kami sekelas ngakak banget cocok bagian ini dan aku tiba2 bayangkan kak user dengan kebelibetannya ketik coufy4v8ljqw
38;#ReqPlaying Terpesona @isyanasarasvati on #KHB;0;hashtag req playing hashtag terpesona user on hashtag khb hashtag;['hashtag', 'req', 'playing', 'hashtag', 'terpesona', 'user', 'on', 'hashtag', 'khb', 'hashtag'];['hashtag', 'req', 'playing', 'hashtag', 'terpesona', 'user', 'on', 'hashtag', 'khb', 'hashtag'];hashtag req playing hashtag terpesona user on hashtag khb hashtag
39;"Now playing ""Isyana Sarasvati - Tetap Dalam Jiwa"" on channel NBS Radio. Listen it on Dailymate Radio at… https://t.co/Wpu3FgPCr7";0;now playing isyana sarasvati tetap dalam jiwa on channel nbs radio listen it on dailymate radio at cowpu3fgpcr7;['now', 'playing', 'isyana', 'sarasvati', 'tetap', 'dalam', 'jiwa', 'on', 'channel', 'nbs', 'radio', 'listen', 'it', 'on', 'dailymate', 'radio', 'at', 'cowpu3fgpcr7'];['now', 'playing', 'isyana', 'sarasvati', 'tetap', 'dalam', 'jiwa', 'on', 'saluran', 'nbs', 'radio', 'listen', 'it', 'on', 'dailymate', 'radio', 'at', 'cowpu3fgpcr7'];now playing isyana sarasvati tetap dalam jiwa on saluran nbs radio listen it on dailymate radio at cowpu3fgpcr7
40;Duet sama @isyanasarasvati  sama @raisa6690  kayaknya seru bahas Perspektif mereka tentang musik indonesia pak… https://t.co/po5uwsgE9d;0;duet sama user sama user kayaknya seru bahas perspektif mereka tentang musik indonesia pak copo5uwsge9d;['duet', 'sama', 'user', 'sama', 'user', 'kayaknya', 'seru', 'bahas', 'perspektif', 'mereka', 'tentang', 'musik', 'indonesia', 'pak', 'copo5uwsge9d'];['duet', 'sama', 'user', 'sama', 'user', 'kayaknya', 'seru', 'bahas', 'perspektif', 'mereka', 'tentang', 'musik', 'indonesia', 'pak', 'copo5uwsge9d'];duet sama user sama user kayaknya seru bahas perspektif mereka tentang musik indonesia pak copo5uwsge9d
41;"#RELIEF #RequestLaguIndonesiaFavorite
w/@awan_badroe #Memutar

@isyanasarasvati - Tetap Dalam Jiwa @SonyMusicID… https://t.co/m7Wmwr5PW5";0;hashtag relief hashtag hashtag request lagu indonesia favorite hashtag user hashtag memutar hashtag user tetap dalam jiwa user com7wmwr5pw5;['hashtag', 'relief', 'hashtag', 'hashtag', 'request', 'lagu', 'indonesia', 'favorite', 'hashtag', 'user', 'hashtag', 'memutar', 'hashtag', 'user', 'tetap', 'dalam', 'jiwa', 'user', 'com7wmwr5pw5'];['hashtag', 'relief', 'hashtag', 'hashtag', 'request', 'lagu', 'indonesia', 'favorite', 'hashtag', 'user', 'hashtag', 'memutar', 'hashtag', 'user', 'tetap', 'dalam', 'jiwa', 'user', 'com7wmwr5pw5'];hashtag relief hashtag hashtag request lagu indonesia favorite hashtag user hashtag memutar hashtag user tetap dalam jiwa user com7wmwr5pw5
42;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
43;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
44;@isyanasarasvati Keren nftnya 👏  di tunggu nft keren lainnya;0;user keren nftnya di tunggu nft keren lainnya;['user', 'keren', 'nftnya', 'di', 'tunggu', 'nft', 'keren', 'lainnya'];['user', 'keren', 'nftnya', 'di', 'tunggu', 'nft', 'keren', 'lainnya'];user keren nftnya di tunggu nft keren lainnya
45;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
